Team1,Team2,odd1,odd2,date,league
"Hurkacz, Hubert","Bolt, Alex",1.19,4.18,29 Sep 21:10,"ATP Atp San Diego, Usa Men Singles"
Corley C / Corley I,Miyamoto A / Sawangkaew M,1.34,2.81,29 Sep 21:15,"ITFw ITF USA 19A, Women Doubles"
Hinojosa Gomez J / Rusova A,Reed L / Snells J,1.41,2.56,29 Sep 21:15,"ITFw ITF Mexico 02A, Women Doubles"
Baker B / Kingsley C,Arevalo I A / Collier R,1.39,2.62,29 Sep 21:20,"ITFm ITF USA F15, Men Doubles"
Bangoura S / Brouwer G,Bushamuka W / Scaglia M,1.09,5.43,29 Sep 21:20,"ITFm ITF USA F15, Men Doubles"
Reami A / Zhu A,Fiquet T / Labrana F,2.05,1.64,29 Sep 21:20,"ITFw ITF USA 19A, Women Doubles"
"Duval, Victoria","Kaji, Haruka",1.14,4.48,29 Sep 21:50,"ITFw ITF USA 18A, Women Singles"
Britto L / Yamacita F,Hussey G / Jones A,2.05,1.64,29 Sep 22:05,"ITFm ITF Mexico F2, Men Doubles"
Ponwith N / Zink T,Broom C / Kissell C,1.46,2.42,29 Sep 22:05,"ITFm ITF USA F15, Men Doubles"
Kononova M / Williford K,Kanapatskaya V / Orpana O,2.22,1.54,29 Sep 22:20,"ITFw ITF USA 19A, Women Doubles"
"Liang, En Shuo","Lu, Jia-jing",1.26,3.26,29 Sep 22:20,"ITFw ITF USA 18A, Women Singles"
"Vickery, Sachia","Wang, Xinyu",2.77,1.35,29 Sep 22:20,"ITFw ITF USA 18A, Women Singles"
Hurkacz H / Melo M,Peers J / Polasek F,2.14,1.63,29 Sep 23:00,"ATP Atp San Diego, Usa Men Doubles"
"Exposito Diaz-delgad, Paola","Day, Kayla",5.65,1.08,29 Sep 23:20,"ITFw ITF USA 18A, Women Singles"
Portillo Ramirez M J / Rodriguez V,Rogers A S / Rosca C,1.27,3.20,29 Sep 23:35,"ITFw ITF Mexico 02A, Women Doubles"
Jakupovic D / Kuwata H,Bjorklund M / Di Lorenzo F,2.04,1.64,29 Sep 23:50,"ITFw ITF USA 18A, Women Doubles"
Sancic A / Sitak A,Thompson J / Withrow J,1.98,1.74,30 Sep 00:20,"ATP Atp San Diego, Usa Men Doubles"
"Rublev, Andrey","Nakashima, Brandon",1.35,2.94,30 Sep 00:30,"ATP Atp San Diego, Usa Men Singles"
"Harris, Lloyd","Schwartzman, Diego",1.84,1.87,30 Sep 01:50,"ATP Atp San Diego, Usa Men Singles"
Dzalamidze N / Juvan K,Blinkova A / Danilina A,2.53,1.46,30 Sep 06:00,"WTA Wta Nur Sultan, Kazakhstan Women Doubles"
"Gracheva, Varvara","Van Uytvanck, Alison",2.34,1.53,30 Sep 06:00,"WTA Wta Nur Sultan, Kazakhstan Women Singles"
"Agamenone, Franco","Sachko, Vitaliy",1.66,2.09,30 Sep 07:00,"Chall. ATP Challenger Sibiu, Romania Men Singles"
"Copil, Marius","Kolar, Zdenek",3.01,1.34,30 Sep 07:00,"Chall. ATP Challenger Sibiu, Romania Men Singles"
"Huesler, Marc-andrea","Oliel, Yshai",1.38,2.83,30 Sep 07:00,"Chall. ATP Challenger Sibiu, Romania Men Singles"
