Team1,Team2,odd1,odd2,date,league
Bublik A / Ivashka I , Golubev A / Nys H,2.50,1.54,"14:00 Oct 26, 2021","Tennis - ATP - ATP St. Petersburg, Russia Men Doubles"
Murray J / Soares B , Erlich J / Vasilevski A,1.36,3.18,"15:20 Oct 26, 2021","Tennis - ATP - ATP St. Petersburg, Russia Men Doubles"
Khachanov K / Rublev A , Golubev D / Tiurnev E,1.03,12.89,"16:50 Oct 26, 2021","Tennis - ATP - ATP St. Petersburg, Russia Men Doubles"
Arevalo M / Middelkoop M , Daniell M / Demoliner M,1.67,2.21,"10:00 Oct 26, 2021","Tennis - ATP - ATP St. Petersburg, Russia Men Doubles"
Inglot D / Skupski K , Saville L / Smith J,1.90,1.91,"10:00 Oct 26, 2021","Tennis - ATP - ATP St. Petersburg, Russia Men Doubles"
Behar A / Escobar G , Fritz T / Paul T,1.67,2.21,"10:00 Oct 26, 2021","Tennis - ATP - ATP St. Petersburg, Russia Men Doubles"
Brkic T / Cacic N , Gonzalez S / Molteni A,1.91,1.90,"10:00 Oct 26, 2021","Tennis - ATP - ATP St. Petersburg, Russia Men Doubles"
"Popyrin, Alexei "," Berrettini, Matteo",3.55,1.30,"18:30 Oct 25, 2021",Tennis - ATP - Vienna
Auger,"Aliassime, Felix ",1.33,3.34,"11:00 Oct 25, 2021",Tennis - ATP - Vienna
"Ruud, Casper "," Harris, Lloyd",1.76,2.07,"12:00 Oct 25, 2021",Tennis - ATP - Vienna
"Norrie, Cameron "," Fucsovics, Marton",1.56,2.44,"12:20 Oct 25, 2021",Tennis - ATP - Vienna
"Tsitsipas, Stefanos "," Dimitrov, Grigor",1.41,2.93,"13:20 Oct 25, 2021",Tennis - ATP - Vienna
"Lajovic, Dusan "," Tiafoe, Frances",3.43,1.32,"13:40 Oct 25, 2021",Tennis - ATP - Vienna
"Krajinovic, Filip "," Zverev, Alexander",6.68,1.11,"15:30 Oct 25, 2021",Tennis - ATP - Vienna
"Novak, Dennis "," Mager, Gianluca",1.62,2.31,"16:50 Oct 25, 2021",Tennis - ATP - Vienna
Melzer J / Zverev A , Peers J / Polasek F,3.17,1.36,"11:00 Oct 26, 2021",Tennis - ATP - Vienna Doubles
Auger,aliassime F / Mies A ,2.19,1.69,"11:00 Oct 26, 2021",Tennis - ATP - Vienna Doubles
Cabal J,S / Farah R ,1.62,2.31,"16:20 Oct 26, 2021",Tennis - ATP - Vienna Doubles
Mahut N / Martin F , Garin C / Norrie C,1.38,3.08,"11:00 Oct 26, 2021",Tennis - ATP - Vienna Doubles
Harris L / Tecau H , Ram R / Salisbury J,3.17,1.36,"11:00 Oct 26, 2021",Tennis - ATP - Vienna Doubles
"Martinez, Pedro "," Paul, Tommy",2.56,1.52,"10:00 Oct 26, 2021",Tennis - ATP - St. Petersburg
"Djere, Laslo "," Ivashka, Ilya",3.99,1.25,"10:00 Oct 26, 2021",Tennis - ATP - St. Petersburg
"Delbonis, Federico "," Andujar, Pablo",1.76,2.07,"11:20 Oct 26, 2021",Tennis - ATP - St. Petersburg
"van de Zandschulp, Botic "," Nishioka, Yoshihito",1.48,2.67,"11:20 Oct 26, 2021",Tennis - ATP - St. Petersburg
"Gerasimov, Egor "," McDonald, Mackenzie",2.30,1.63,"12:40 Oct 26, 2021",Tennis - ATP - St. Petersburg
"Millman, John "," Oliel, Yshai",1.10,7.06,"12:40 Oct 26, 2021",Tennis - ATP - St. Petersburg
"Fritz, Taylor "," Ruusuvuori, Emil",1.94,1.87,"15:30 Oct 26, 2021",Tennis - ATP - St. Petersburg
"Mannarino, Adrian "," Khachanov, Karen",3.65,1.29,"10:00 Oct 26, 2021",Tennis - ATP - St. Petersburg
"Cilic, Marin ", Ramos,1.33,3.36,"10:00 Oct 26, 2021",Tennis - ATP - St. Petersburg
"Fett, Jana "," Peterson, Rebecca",5.79,1.14,"09:00 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Pera, Bernarda "," Kostyuk, Marta",2.12,1.73,"09:00 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Begu, Irina",Camelia ,1.15,5.58,"10:15 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Kovinic, Danka "," Van Uytvanck, Alison",4.32,1.22,"10:15 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Cristian, Jaqueline Adina "," Juvan, Kaja",1.67,2.22,"11:30 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Raducanu, Emma "," Hercog, Polona",1.16,5.35,"15:00 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Petkovic, Andrea "," Gracheva, Varvara",1.66,2.23,"16:15 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Halep, Simona "," Ruse, Elena",1.17,5.14,"07:00 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Krunic, Aleksandra "," Kontaveit, Anett",5.32,1.16,"07:00 Oct 26, 2021",Tennis - WTA - Cluj Napoca 2
"Wang, Xinyu "," Bucsa, Cristina",1.53,2.52,"09:30 Oct 26, 2021",Tennis - WTA - Courmayeur
"Martic, Petra "," Zheng, Saisai",1.71,2.15,"09:30 Oct 26, 2021",Tennis - WTA - Courmayeur
"Vekic, Donna "," Zheng, Qinwen",1.67,2.22,"10:45 Oct 26, 2021",Tennis - WTA - Courmayeur
"Wagner, Stephanie "," Samsonova, Liudmila",6.74,1.11,"10:45 Oct 26, 2021",Tennis - WTA - Courmayeur
"Pieri, Jessica "," Zhang, Shuai",4.77,1.19,"12:30 Oct 26, 2021",Tennis - WTA - Courmayeur
