Team1,Team2,odd1,odd2,date,league
14:00,"Kudermetova, Veronika - Kalinskaya, Anna",1.32,3.43,Tennis - WTA - Chicago,"Sep 27, 2021"
14:00,"Vekic, Donna - Li, Ann",1.79,2.03,Tennis - WTA - Chicago,"Sep 27, 2021"
14:00,"Cornet, Alize - Yastremska, Dayana",1.78,2.04,Tennis - WTA - Chicago,"Sep 27, 2021"
14:00,"Petkovic, Andrea - Govortsova, Olga",1.21,4.49,Tennis - WTA - Chicago,"Sep 27, 2021"
15:00,"Clijsters, Kim - Hsieh, Su-Wei",2.32,1.61,Tennis - WTA - Chicago,"Sep 27, 2021"
15:00,"Anisimova, Amanda - Golubic, Viktorija",1.41,2.93,Tennis - WTA - Chicago,"Sep 27, 2021"
15:15,"Hontama, Mai - Garcia, Caroline",3.17,1.36,Tennis - WTA - Chicago,"Sep 27, 2021"
15:15,"Cabrera, Lizette - Rogers, Shelby",6.64,1.11,Tennis - WTA - Chicago,"Sep 27, 2021"
15:15,"Pegula, Jessica - Frech, Magdalena",1.20,4.63,Tennis - WTA - Chicago,"Sep 27, 2021"
15:15,"Inglis, Maddison - Dolehide, Caroline",1.99,1.83,Tennis - WTA - Chicago,"Sep 27, 2021"
16:30,"Flipkens, Kirsten - Collins, Danielle",6.76,1.11,Tennis - WTA - Chicago,"Sep 27, 2021"
16:30,"Bouzkova, Marie - Doi, Misaki",1.32,3.41,Tennis - WTA - Chicago,"Sep 27, 2021"
16:30,"Kozlova, Kateryna - Kostyuk, Marta",3.22,1.35,Tennis - WTA - Chicago,"Sep 27, 2021"
17:45,"Tomljanovic, Ajla - Vondrousova, Marketa",3.02,1.39,Tennis - WTA - Chicago,"Sep 27, 2021"
17:45,"Sasnovich, Aliaksandra - Keys, Madison",2.63,1.49,Tennis - WTA - Chicago,"Sep 27, 2021"
16:00,Jurak D / Klepac A - Baptiste H / Osuigwe W,1.12,6.34,Tennis - WTA - Chicago Doubles,"Sep 27, 2021"
17:45,Lechemia E / Lohoff J - Golubic V / Teichmann J,2.67,1.48,Tennis - WTA - Chicago Doubles,"Sep 27, 2021"
17:45,Bektas E / Moore T - Melichar N / Schuurs D,5.30,1.16,Tennis - WTA - Chicago Doubles,"Sep 27, 2021"
15:00,"Azarenka, Victoria - Zhang, Shuai",1.19,4.79,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,"Teichmann, Jil - Kanepi, Kaia",1.47,2.71,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,"Stephens, Sloane - Zidansek, Tamara",1.57,2.43,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,"Ruse, Elena-Gabriela - Giorgi, Camila",4.24,1.23,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,"Baptiste, Hailey - Paolini, Jasmine",2.57,1.51,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,"Brengle, Madison - Kontaveit, Anett",6.32,1.12,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,"Osorio Serrano, Maria Camila - Martincova, Tereza",3.19,1.36,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,"Davis, Lauren - Haddad Maia, Beatriz",2.46,1.55,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,"Vandeweghe, Coco - Linette, Magda",3.11,1.37,Tennis - WTA - Chicago,"Sep 28, 2021"
15:00,Linette M / Rosolska A - Muhammad A / Pegula J,2.71,1.47,Tennis - WTA - Chicago Doubles,"Sep 28, 2021"
15:00,Bouzkova M / Hradecka L - Eikeri U / Harrison C,1.25,4.02,Tennis - WTA - Chicago Doubles,"Sep 28, 2021"
15:00,Peschke K / Petkovic A - Fichman S / Olmos G,3.11,1.37,Tennis - WTA - Chicago Doubles,"Sep 28, 2021"
15:00,Kichenok N / Olaru R - Christian K / Routliffe E,1.53,2.53,Tennis - WTA - Chicago Doubles,"Sep 28, 2021"
15:00,Dolehide C / Vandeweghe C - Mirza S / Zhang S,2.77,1.45,Tennis - WTA - Chicago Doubles,"Sep 28, 2021"
15:00,Ninomiya M / Santamaria S - Neel I / Rodionova An,1.63,2.29,Tennis - WTA - Chicago Doubles,"Sep 28, 2021"
